size           cycle_number               time                    convergence factor               energy                        ||g||
  16               6                      5.63                    0.027190                      0.08333                     0.00000036
  32               7                      9.41                    0.031143                      0.08333                     0.00000007
  64               9                     26.28                    0.063597                      0.08333                     0.00000017
 128              16                    104.98                    0.186351                      0.08333                     0.00000013
 256              17                    225.17                    0.198510                      0.08333                     0.00000010
 512              35                    998.36                    0.431285                      0.08333                     0.00000011
1024              64                    3902.94                    0.604825                      0.08333                     0.00000003


size           cycle_number               time                    convergence factor               energy                        ||g||:new update as transpose of downdate, 5 levels
  16               4                      3.34                    0.007398                      0.08333                     0.00000026
  32               4                      5.72                    0.009165                      0.08333                     0.00000085
  64               5                     12.67                    0.014072                      0.08333                     0.00000048
 128               6                     29.72                    0.024172                      0.08333                     0.00000113
 256               7                     64.36                    0.018921                      0.08333                     0.00000009
 512               8                    150.36                    0.035483                      0.08333                     0.00000017
1024              11                    560.88                    0.066490                      0.08333                     0.00000025
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
size           cycle_number               time                    convergence factor               energy                        ||g||:downdate to size 2
  16               4                      3.13                    0.007398                      0.08333                     0.00000026
  32               4                      5.63                    0.009165                      0.08333                     0.00000085
  64               5                     12.92                    0.011127                      0.08333                     0.00000033
 128               6                     29.80                    0.027833                      0.08333                     0.00000186
 256               6                     55.98                    0.021115                      0.08333                     0.00000180
 512               7                    131.08                    0.042474                      0.08333                     0.00000283
1024               8                    308.97                    0.041221                      0.08333                     0.00000108
2048               7                    555.77                    0.038291                        0.08333                     0.00000293
4096               9                    1225.72                    0.074361                        0.08333                     0.00000452
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
size           cycle_number               time                    convergence factor               energy                        ||g||:density:6.*x.^2.*exp(-2*x.^3);downdate to size 2
  16               5                      4.00                    0.025562                      0.05446                     0.00000341
  32               6                      8.23                    0.055876                      0.05523                     0.00000894
  64               6                     18.25                    0.058891                      0.05562                     0.00001117
 128               7                     47.02                    0.111777                      0.05581                     0.00006671
 256               9                    109.41                    0.142964                      0.05591                     0.00001329
 512              11                    281.22                    0.213091                      0.05596                     0.00006633
1024              14                    713.77                    0.305568                      0.05598                     0.00009373
size           cycle_number               time                    convergence factor               energy                        ||g||:density:6.*x.^2.*exp(-2*x.^3);5-levels
  16               5                      4.52                    0.025530                        0.05446                     0.00000339
  32               6                      9.14                    0.055876                        0.05523                     0.00000894
  64               6                     19.88                    0.091081                        0.05562                     0.00008636
 128               7                     42.92                    0.113330                        0.05581                     0.00006221
 256              10                    132.11                    0.185404                        0.05591                     0.00002062
 512              11                    287.69                    0.185146                        0.05596                     0.00002002
1024              17                    939.78                    0.382782                        0.05598                     0.00012877

size           cycle_number               time                    convergence factor               energy                        ||g||
  16               4                      2.61                    0.026499                        0.08333                     0.00000493
  32               5                      6.41                    0.032105                        0.08333                     0.00000691
  64               6                     13.41                    0.075246                        0.08333                     0.00002753
 128               5                     24.17                    0.055103                        0.08333                     0.00013876
 256               5                     48.05                    0.035097                        0.08333                     0.00002804
 512               5                    120.27                    0.039047                        0.08333                     0.00005425
1024               4                    174.86                    0.033477                        0.08333                     0.00058264
2048               6                    529.05                    0.098893                        0.08333                     0.00022548
