  it     nf     cg           f             |g|
   0      1      0    4.91298588e-001   2.1e+001
   1      2      2    1.92528931e-001   1.1e+001
   2      3      6    1.40558124e-001   4.5e+000
   3      4     12    1.23183247e-001   2.1e+000
   4      5     32    1.10627656e-001   2.3e+000
   5      6     57    1.03566189e-001   3.0e+000
   6      7     82    9.75583109e-002   2.4e+000
   7      8    107    9.24380287e-002   1.2e+000
   8     11    111    9.20460568e-002   5.8e-001
   9     13    114    9.17745842e-002   5.5e-001
  10     15    116    9.17061699e-002   5.9e-001
  11     16    140    8.87805997e-002   6.1e-001
  12     17    165    8.78155542e-002   3.6e-001
  13     18    190    8.73028994e-002   4.1e-001
  14     19    215    8.69761654e-002   2.5e-001
  15     20    240    8.67114965e-002   2.7e-001
  16     21    265    8.64375585e-002   1.4e-001
  17     22    290    8.61920567e-002   1.7e-001
  18     23    315    8.59371799e-002   2.5e-001
  19     24    340    8.57147068e-002   2.2e-001
  20     25    365    8.55483280e-002   1.6e-001
  21     26    390    8.54169584e-002   1.2e-001
  22     27    415    8.53028980e-002   1.1e-001
  23     28    436    8.51245980e-002   1.3e-001
  24     29    461    8.49974722e-002   1.1e-001
  25     30    486    8.49001323e-002   8.9e-002
  26     31    511    8.48031106e-002   8.0e-002
  27     32    536    8.47308241e-002   7.4e-002
  28     33    561    8.46670819e-002   7.7e-002
  29     34    586    8.46128290e-002   1.0e-001
  30     35    611    8.45645681e-002   6.4e-002
  31     36    636    8.45139107e-002   8.3e-002
  32     37    661    8.44602914e-002   7.3e-002
  33     38    686    8.44054705e-002   7.1e-002
  34     39    711    8.43554008e-002   5.8e-002
  35     40    736    8.43142815e-002   6.4e-002
  36     41    761    8.42792161e-002   4.8e-002
  37     42    786    8.42473621e-002   5.1e-002
  38     43    811    8.42158258e-002   4.9e-002
  39     44    836    8.41808910e-002   5.1e-002
  40     45    861    8.41463907e-002   4.5e-002
  41     46    886    8.41140072e-002   4.3e-002
  42     47    911    8.40838805e-002   4.6e-002
  43     48    934    8.40193129e-002   4.0e-002
  44     49    959    8.39957769e-002   5.0e-002
  45     50    982    8.39663124e-002   5.3e-002
  46     51   1007    8.39462358e-002   2.8e-002
  47     52   1032    8.39294600e-002   2.8e-002
  48     53   1057    8.39124865e-002   2.3e-002
  49     54   1082    8.38972869e-002   3.1e-002
  50     55   1107    8.38818194e-002   3.1e-002
  51     56   1132    8.38644040e-002   2.6e-002
  52     57   1157    8.38445586e-002   3.3e-002
  53     58   1182    8.38239930e-002   2.4e-002
  54     59   1207    8.38019910e-002   2.5e-002
  55     60   1232    8.37816096e-002   3.0e-002
  56     61   1257    8.37629539e-002   2.1e-002
  57     62   1282    8.37459088e-002   3.0e-002
  58     63   1307    8.37282760e-002   2.3e-002
  59     64   1332    8.37117813e-002   2.6e-002
  60     65   1357    8.36959809e-002   2.6e-002
  61     66   1382    8.36808497e-002   2.3e-002
  62     67   1407    8.36666474e-002   2.7e-002
  63     68   1432    8.36525243e-002   2.2e-002
  64     69   1457    8.36373233e-002   2.1e-002
  65     70   1482    8.36218701e-002   1.9e-002
  66     71   1507    8.36067324e-002   2.6e-002
  67     72   1532    8.35918571e-002   1.7e-002
  68     73   1557    8.35751236e-002   3.2e-002
  69     74   1581    8.35591152e-002   1.8e-002
  70     75   1606    8.35433596e-002   3.0e-002
  71     76   1629    8.35298771e-002   1.4e-002
  72     77   1654    8.35174969e-002   2.4e-002
  73     78   1677    8.34918302e-002   1.3e-002
  74     79   1702    8.34858812e-002   2.9e-002
  75     80   1723    8.34790390e-002   1.2e-002
  76     81   1748    8.34725970e-002   1.9e-002
  77     82   1773    8.34678184e-002   2.5e-002
  78     83   1791    8.34646656e-002   1.0e-002
  79     84   1808    8.34622890e-002   1.2e-002
  80     85   1833    8.34594612e-002   1.1e-002
  81     86   1857    8.34570910e-002   6.9e-003
  82     87   1882    8.34547586e-002   8.2e-003
  83     88   1907    8.34527079e-002   8.3e-003
  84     89   1932    8.34505827e-002   7.1e-003
  85     90   1957    8.34484632e-002   9.3e-003
  86     91   1982    8.34464849e-002   6.9e-003
  87     92   2007    8.34443563e-002   1.0e-002
  88     93   2029    8.34376200e-002   8.8e-003
  89     94   2054    8.34339584e-002   7.9e-003
  90     95   2079    8.34312864e-002   8.1e-003
  91     96   2104    8.34287202e-002   7.7e-003
  92     97   2129    8.34266532e-002   9.2e-003
  93     98   2154    8.34248199e-002   6.9e-003
  94     99   2179    8.34228412e-002   8.1e-003
  95    100   2204    8.34210498e-002   8.4e-003
  96    101   2229    8.34193773e-002   7.9e-003
  97    102   2254    8.34177098e-002   7.2e-003
  98    103   2279    8.34161966e-002   9.0e-003
  99    104   2304    8.34147534e-002   8.0e-003
 100    105   2329    8.34132989e-002   1.0e-002
 101    106   2354    8.34115917e-002   1.0e-002
 102    107   2379    8.34095249e-002   8.3e-003
 103    108   2404    8.34073051e-002   1.2e-002
 104    109   2429    8.34049776e-002   1.1e-002
 105    110   2454    8.34026895e-002   1.9e-002
 106    111   2479    8.34005281e-002   1.3e-002
 107    112   2504    8.33985052e-002   1.9e-002
 108    113   2529    8.33964792e-002   1.1e-002
 109    114   2554    8.33944807e-002   1.3e-002
 110    115   2579    8.33925502e-002   6.4e-003
 111    116   2604    8.33906511e-002   7.7e-003
