  %%%%%%N=25;
   it     nf     cg           f             |g|
   0      1      0    5.67709609e+007   1.7e+006
   1      2     13    4.64147594e+007   1.9e+006
   2      3     15    1.44961186e+007   7.1e+005
   3      4     20    1.32488595e+007   5.0e+005
   4      6     21    1.03861619e+007   2.4e+005
   5      7     25    1.02399478e+007   2.3e+005
   6      8     30    9.69607560e+006   1.9e+005
   7      9     32    9.45526353e+006   1.9e+005
   8     12     33    8.91583287e+006   1.7e+005
   9     13     36    8.46701794e+006   1.2e+005
  10     14     57    8.43061143e+006   1.2e+005
  11     15     62    7.76398158e+006   8.6e+004
  12     16     64    7.28070181e+006   1.0e+005
  13     19     69    7.23270426e+006   1.1e+005
  14     20     71    7.15394905e+006   1.2e+005
  15     21     81    6.42636168e+006   5.8e+004
  16     22     88    6.27608206e+006   5.4e+004
  17     23     94    6.19913514e+006   6.0e+004
  18     24    102    6.11990456e+006   4.0e+004
  19     25    109    6.07960746e+006   3.5e+004
  20     26    113    6.06202079e+006   2.1e+004
  21     27    121    6.04872831e+006   2.2e+004
  22     28    124    6.03914261e+006   1.5e+004
  23     29    129    6.03256662e+006   2.1e+004
  24     30    131    6.02615290e+006   1.3e+004
  25     31    136    6.02209089e+006   1.1e+004
  26     32    141    6.01770890e+006   1.2e+004
  27     33    143    6.01551515e+006   7.2e+003
  28     34    148    6.01333919e+006   2.9e+003
  29     35    152    6.01251445e+006   5.8e+003
  30     36    154    5.98848606e+006   1.4e+004
  31     37    157    5.88606321e+006   4.8e+004
  32     38    159    5.82931373e+006   4.7e+004
  33     40    160    5.78891272e+006   3.5e+004
  34     41    163    5.73376804e+006   8.9e+003
  35     42    167    5.72749394e+006   4.2e+003
  36     43    170    5.72697638e+006   1.7e+003
  37     44    173    5.72686974e+006   5.8e+002
  38     45    175    5.72684727e+006   5.3e+002
  39     46    177    5.72682166e+006   4.5e+002
  40     47    179    5.72678582e+006   4.1e+002
  41     48    182    5.72676907e+006   3.2e+002
  42     49    184    5.72675068e+006   2.3e+002
  43     50    186    5.72673854e+006   1.6e+002
  44     51    188    5.72672935e+006   7.0e+001
  45     52    190    5.72672137e+006   4.1e+001
  46     53    192    5.72670878e+006   6.7e+001
  47     54    194    5.72669820e+006   6.1e+001
  48     55    196    5.72669184e+006   9.3e+001
  49     56    198    5.72668927e+006   9.8e+001
  50     57    201    5.72668430e+006   1.2e+002
  51     58    203    5.72668070e+006   1.2e+002
  52     59    206    5.72667976e+006   1.3e+001
  53     60    208    5.72667927e+006   1.7e+001
  54     61    210    5.72667885e+006   3.3e+001
  55     62    213    5.72667883e+006   3.6e+000
  56     63    216    5.72667883e+006   1.9e-001
  57     64    219    5.72667883e+006   4.2e-002
  58     65    222    5.72667883e+006   2.7e-003
convergence rate=0.564519
Time elapsed: 658.875 sec

-------------------------------
Optimization costs per grid
-------------------------------
N:          4     3     2     1
-------------------------------
NF(it):    58     0     0     0
NF(nf):    65     0     0     0
NF(cg):   222     0     0     0
-------------------------------
