  it     nf     cg           f             |g|
   0      1      0    1.17335926e+003   2.8e+000
   1      3     50    1.10156369e+003   5.3e+000
   2      4    100    1.08563346e+003   6.3e+000
   3      5    101    9.45316565e+002   5.7e+000
   4      6    151    8.81552044e+002   4.5e+000
   5      7    201    8.81235146e+002   4.6e+000
   6      8    251    8.44742887e+002   3.4e+000
   7      9    252    8.25731058e+002   3.7e+000
   8     10    302    8.17719223e+002   6.2e+000
   9     11    304    7.76933099e+002   3.1e+000
  10     14    354    7.58485471e+002   4.7e+000
  11     15    356    7.45100239e+002   1.8e+000
  12     17    357    7.34806824e+002   8.0e-001
  13     19    407    7.27741192e+002   9.4e-001
  14     20    410    7.20671251e+002   5.8e-001
  15     22    414    7.16163242e+002   1.3e+000
  16     24    464    7.11938868e+002   9.1e-001
  17     25    466    7.08049603e+002   7.7e-001
  18     28    470    7.05997781e+002   9.3e-001
  19     30    471    7.03206177e+002   2.6e-001
  20     32    475    7.01373982e+002   7.1e-001
  21     33    479    6.99357311e+002   8.3e-001
  22     36    483    6.98021204e+002   1.1e+000
  23     37    485    6.95998693e+002   5.1e-001
  24     40    535    6.93840338e+002   2.8e-001
  25     42    539    6.92415579e+002   3.8e-001
  26     45    544    6.90918774e+002   6.8e-001
  27     46    547    6.88162848e+002   1.9e-001
  28     49    552    6.86881135e+002   2.1e-001
  29     52    558    6.86038039e+002   4.2e-001
  30     53    560    6.84715196e+002   1.0e-001
  31     55    564    6.84026436e+002   1.6e-001
  32     58    568    6.83283208e+002   2.5e-001
  33     61    572    6.82947733e+002   3.9e-001
  34     65    577    6.82241135e+002   3.0e-001
  35     66    581    6.80831624e+002   2.1e-001
  36     70    587    6.80083676e+002   2.7e-001
  37     73    593    6.79186677e+002   2.0e-001
  38     76    599    6.79078152e+002   3.2e-001
  39     77    601    6.77930378e+002   1.2e-001
  40     81    606    6.77538646e+002   1.6e-001
  41     83    611    6.77445132e+002   3.1e-001
  42     84    613    6.76781513e+002   2.1e-001
  43     87    618    6.76384299e+002   1.5e-001
  44     92    624    6.76062105e+002   1.5e-001
  45     95    630    6.75627058e+002   9.4e-002
  46    100    636    6.75328903e+002   8.0e-002
  47    103    640    6.74926254e+002   8.5e-002
  48    107    644    6.74638102e+002   2.3e-001
  49    108    646    6.74273807e+002   7.3e-002
  50    112    651    6.74173609e+002   1.8e-001
  51    115    657    6.74082944e+002   2.8e-001
  52    116    659    6.73326285e+002   6.8e-002
  53    119    664    6.73138446e+002   1.7e-001
  54    122    668    6.72940393e+002   2.4e-001
  55    125    672    6.72816766e+002   2.6e-001
  56    130    722    6.72761460e+002   2.6e-001
  57    132    725    6.72692834e+002   1.8e-001
  58    133    727    6.72515357e+002   8.5e-002
  59    135    731    6.72384633e+002   1.3e-001
  60    137    736    6.72180098e+002   9.6e-002
  61    141    741    6.72050879e+002   6.7e-002
  62    144    746    6.71899074e+002   7.1e-002
  63    146    750    6.71779617e+002   5.0e-002
  64    148    755    6.71692646e+002   8.9e-002
  65    151    760    6.71625180e+002   7.8e-002
  66    156    767    6.71556390e+002   6.7e-002
  67    160    772    6.71482777e+002   5.8e-002
  68    161    774    6.71432347e+002   2.1e-002
  69    164    778    6.71376800e+002   3.5e-002
  70    170    783    6.71357277e+002   8.2e-002
  71    174    788    6.71278152e+002   1.2e-001
  72    175    790    6.71130229e+002   3.4e-002
  73    177    793    6.71092910e+002   1.1e-001
  74    179    797    6.70997684e+002   6.2e-002
  75    184    803    6.70961701e+002   8.2e-002
  76    185    806    6.70857817e+002   2.3e-002
  77    187    811    6.70832586e+002   4.7e-002
  78    188    815    6.70802828e+002   3.1e-002
  79    190    818    6.70759983e+002   3.8e-002
  80    196    823    6.70710874e+002   5.5e-002
  81    198    827    6.70680188e+002   1.3e-001
  82    201    831    6.70629358e+002   5.5e-002
  83    205    836    6.70604438e+002   1.3e-001
  84    206    838    6.70539846e+002   2.8e-002
  85    209    842    6.70508715e+002   3.5e-002
  86    213    848    6.70490797e+002   7.0e-002
  87    214    853    6.70461382e+002   4.2e-002
  88    218    859    6.70436665e+002   3.9e-002
  89    220    863    6.70404466e+002   3.9e-002
  90    222    868    6.70386248e+002   6.9e-002
  91    224    875    6.70357731e+002   6.7e-002
  92    225    877    6.70317307e+002   2.3e-002
  93    226    880    6.70303657e+002   3.2e-002
  94    229    884    6.70294568e+002   6.8e-002
  95    231    888    6.70228707e+002   4.8e-002
  96    235    897    6.70212226e+002   1.1e-001
  97    237    901    6.70140581e+002   6.1e-002
  98    239    907    6.70135611e+002   9.4e-002
  99    240    909    6.70076653e+002   2.2e-002
 100    242    914    6.70056434e+002   2.9e-002
 101    243    917    6.70039723e+002   1.7e-002
 102    245    921    6.70024080e+002   5.8e-002
 103    246    923    6.70006002e+002   1.2e-002
 104    253    973    6.69991127e+002   3.6e-002
 105    256    978    6.69971680e+002   5.9e-002
 106    261    984    6.69950188e+002   5.3e-002
 107    268   1034    6.69936224e+002   6.2e-002
 108    269   1038    6.69905126e+002   2.5e-002
 109    276   1045    6.69885067e+002   2.9e-002
 110    278   1050    6.69867934e+002   2.2e-002
 111    281   1055    6.69856055e+002   2.0e-002
 112    285   1083    6.69850804e+002   8.9e-002
 113    292   1133    6.69835525e+002   8.0e-002
 114    293   1136    6.69792680e+002   2.0e-002
 115    295   1141    6.69785363e+002   5.3e-002
 116    296   1143    6.69764411e+002   1.2e-002
 117    297   1147    6.69757856e+002   2.3e-002
 118    299   1152    6.69738508e+002   2.3e-002
 119    301   1156    6.69735245e+002   7.7e-002
 120    304   1162    6.69720758e+002   5.8e-002
 121    305   1164    6.69701238e+002   1.1e-002
 122    307   1171    6.69697029e+002   4.7e-002
 123    308   1173    6.69685371e+002   1.3e-002
 124    311   1178    6.69680932e+002   4.1e-002
 125    314   1184    6.69676664e+002   6.5e-002
 126    317   1190    6.69660668e+002   3.8e-002
 127    318   1193    6.69633746e+002   1.1e-002
 128    320   1197    6.69621497e+002   3.5e-002
 129    324   1202    6.69605965e+002   4.1e-002
 130    325   1206    6.69584386e+002   1.6e-002
 131    328   1209    6.69574688e+002   4.7e-002
 132    330   1213    6.69558331e+002   4.7e-002
 133    331   1215    6.69532286e+002   1.3e-002
 134    334   1219    6.69516470e+002   3.3e-002
 135    341   1269    6.69492257e+002   2.4e-002
 136    343   1273    6.69470270e+002   3.6e-002
 137    347   1279    6.69439238e+002   5.0e-002
 138    349   1286    6.69412735e+002   3.1e-002
 139    352   1292    6.69384534e+002   3.4e-002
 140    357   1298    6.69361019e+002   3.2e-002
 141    358   1301    6.69342464e+002   9.2e-003
 142    360   1308    6.69339907e+002   8.0e-002
 143    366   1315    6.69334942e+002   7.1e-002
 144    367   1317    6.69315026e+002   2.6e-002
 145    374   1367    6.69309630e+002   3.7e-002
 146    375   1371    6.69303091e+002   2.6e-002
 147    376   1373    6.69298535e+002   8.1e-003
 148    378   1377    6.69293701e+002   1.7e-002
 149    383   1382    6.69288135e+002   2.7e-002
 150    387   1393    6.69282392e+002   3.9e-002
 151    389   1400    6.69273149e+002   3.3e-002
 152    393   1405    6.69270602e+002   4.1e-002
 153    395   1410    6.69251589e+002   2.7e-002
 154    398   1416    6.69247488e+002   7.2e-002
 155    399   1418    6.69226829e+002   1.5e-002
 156    401   1422    6.69222980e+002   3.0e-002
 157    404   1430    6.69216375e+002   2.1e-002
 158    405   1432    6.69209973e+002   9.6e-003
 159    406   1437    6.69209814e+002   2.0e-002
 160    407   1439    6.69206769e+002   4.3e-003
