opt
  it     nf     cg           f             |g|
   0      1      0    2.66246392e-001   4.7e-006
   1      2      2    2.64651864e-001   9.5e-007
   2      3      4    2.64602719e-001   6.7e-007
   3      4      6    2.64602691e-001   6.7e-007
   4      5      9    2.59179431e-001   6.6e-007
   5      6     11    2.53878056e-001   6.4e-007
   6      7     13    2.48698592e-001   6.3e-007
   7      8     15    2.43641080e-001   6.1e-007
   8      9     17    2.38705549e-001   6.0e-007
   9     10     19    2.33892045e-001   5.8e-007
  10     11     21    2.29200570e-001   5.7e-007
  11     12     23    2.24631174e-001   5.5e-007
  12     13     25    2.20183857e-001   5.4e-007
  13     14     27    2.15858674e-001   5.2e-007
  14     15     29    2.11655622e-001   5.1e-007
  15     16     31    2.07574826e-001   4.9e-007
  16     17     33    2.03616218e-001   5.0e-007
  17     18     35    1.99779865e-001   5.3e-007
  18     19     37    1.96065791e-001   5.5e-007
  19     20     39    1.92473974e-001   5.7e-007
  20     21     41    1.89004502e-001   5.9e-007
  21     22     43    1.85657423e-001   6.0e-007
  22     23     45    1.82432584e-001   6.1e-007
  23     24     47    1.79330267e-001   6.3e-007
  24     25     49    1.76350442e-001   6.4e-007
  25     26     51    1.73493051e-001   6.5e-007
  26     27     53    1.70758121e-001   6.5e-007
  27     28     55    1.68145712e-001   6.5e-007
  28     29     57    1.65655861e-001   6.6e-007
  29     30     59    1.63288565e-001   6.6e-007
  30     31     61    1.61043906e-001   6.5e-007
  31     32     63    1.58921854e-001   6.5e-007
  32     33     65    1.56922426e-001   6.4e-007
  33     34     67    1.55045765e-001   6.3e-007
  34     35     69    1.53291721e-001   6.2e-007
  35     36     71    1.51660664e-001   6.1e-007
  36     37     73    1.50152220e-001   5.9e-007
  37     38     75    1.48766295e-001   5.7e-007
  38     39     77    1.47503474e-001   5.5e-007
  39     40     79    1.46363447e-001   5.2e-007
  40     41     81    1.45346383e-001   4.9e-007
  41     42     83    1.44452478e-001   4.6e-007
  42     43     85    1.43681240e-001   4.2e-007
  43     44     87    1.43033466e-001   3.8e-007
  44     45     89    1.42509010e-001   3.3e-007
  45     46     91    1.42107582e-001   2.7e-007
  46     47     93    1.41829720e-001   2.1e-007
  47     48     95    1.41675548e-001   1.2e-007
  48     49     97    1.41641507e-001   2.8e-008
  49     50    100    1.41641340e-001   6.8e-008
  50     51    102    1.41641338e-001   6.9e-008
  51     52    104    1.41641169e-001   2.7e-008
  52     54    108    1.41520432e-001   2.1e-006
  53     55    111    1.41206226e-001   3.4e-007
  54     56    113    1.41195267e-001   2.8e-007
  55     57    116    1.41189340e-001   2.5e-008
  56     58    118    1.41189339e-001   2.5e-008
  57     59    123    1.41140258e-001   4.0e-007
  58     60    125    1.41134037e-001   2.1e-007
  59     61    127    1.41133992e-001   1.9e-007
  60     62    130    1.41128952e-001   2.5e-008
  61     63    132    1.41128897e-001   2.5e-008
  62     64    135    1.41118762e-001   3.7e-007
  63     65    137    1.41118517e-001   3.4e-007
  64     66    140    1.41106123e-001   2.9e-008
  65     67    142    1.41105896e-001   2.4e-008
  66     68    145    1.41086926e-001   4.6e-007
  67     69    148    1.40931424e-001   3.3e-007
  68     70    151    1.40912622e-001   6.1e-008
  69     71    153    1.40911626e-001   2.0e-008
  70     72    155    1.40911622e-001   1.5e-008
  71     73    158    1.40911569e-001   1.7e-008
  72     74    161    1.40911539e-001   1.6e-008
  73     75    164    1.40911481e-001   1.4e-008
  74     76    167    1.40911458e-001   1.8e-008
  75     77    172    1.40897535e-001   9.0e-008
  76     78    174    1.40897482e-001   8.0e-008
  77     79    177    1.40897034e-001   6.0e-009
  78     80    180    1.40895926e-001   5.3e-008
  79     81    183    1.40895760e-001   8.7e-009
  80     82    186    1.40892267e-001   9.4e-008
  81     83    189    1.40891726e-001   1.2e-008
  82     84    192    1.40872926e-001   2.2e-007
  83     85    195    1.40869532e-001   5.0e-009
  84     86    197    1.40869532e-001   4.9e-009
  85     87    200    1.40851711e-001   3.1e-007
  86     88    202    1.40845432e-001   9.3e-009
  87     89    204    1.40845432e-001   6.7e-009
  88     90    207    1.40832069e-001   1.3e-007
  89     91    209    1.40830954e-001   2.6e-009
  90     92    212    1.40830205e-001   4.7e-009
  91     93    214    1.40830204e-001   2.1e-009
  92     94    217    1.40829943e-001   2.2e-009
  93     95    219    1.40829943e-001   2.0e-009
  94     96    222    1.40829586e-001   8.4e-009
  95     97    225    1.40829581e-001   2.4e-009
  96     98    227    1.40829581e-001   2.7e-009
  97     99    230    1.40829580e-001   4.4e-009
  98    100    233    1.40828988e-001   6.1e-009
  99    101    236    1.40828986e-001   1.0e-009
convergence rate=0.871114
Time elapsed: 547.2656 sec

-------------------------------------------
Optimization costs per grid
-------------------------------------------
N:        255   127    63    31    15     7
-------------------------------------------
NF(it):    99     0     0     0     0     0
NF(nf):   101     0     0     0     0     0
NF(cg):   236     0     0     0     0     0
-------------------------------------------
